,sentence_text,e1,e2,relation_type,normalized_sentence
2024,"Praziquantel: In the fed state, praziquantel (40 mg/kg) increased mean maximum plasma concentration and area under the curve of albendazole sulfoxide by about 50% in healthy subjects (n=10) compared with a separate group of subjects (n=6) given albendazole alone.",praziquantel,albendazole sulfoxide,mechanism,"Praziquantel:_bf In_bf fed_bf state_bf ,_bf DRUG (40_be mg/kg)_be increased_be mean_be maximum_be plasma_be concentration_be area_be curve_be albendazole_be sulfoxide_be 50%_be healthy_be subjects_be (n=10)_be compared_be separate_be group_be subjects_be (n=6)_be given_be albendazole_be alone_be ._be"
2031,Cimetidine: Albendazole sulfoxide concentrations in bile and cystic fluid were increased (about 2-fold) in hydatid cyst patients treated with cimetidine (10 mg/kg/day) (n=7) compared with albendazole (20 mg/kg/day) alone (n=12).,Albendazole sulfoxide,cimetidine,mechanism,Cimetidine:_bf Albendazole_bf sulfoxide_bf concentrations_bf bile_bf cystic_bf fluid_bf increased_bf (about_bf 2-fold)_bf hydatid_bf cyst_bf patients_bf treated_bf OTHER_DRUG (10_be mg/kg/day)_be (n=7)_be compared_be albendazole_be (20_be mg/kg/day)_be alone_be (n=12)_be ._be
2192,Co-administration of irbesartan reduced aliskiren Cmax up to 50% after multiple dosing.,irbesartan,aliskiren,mechanism,Co-administration_bf DRUG reduced_be OTHER_DRUG Cmax_af 50%_af multiple_af dosing_af ._af
2193,Co-administration of atorvastatin resulted in about a 50% increase in aliskiren Cmax and AUC after multiple dosing.,atorvastatin,aliskiren,mechanism,Co-administration_bf DRUG resulted_be 50%_be increase_be OTHER_DRUG Cmax_af AUC_af multiple_af dosing_af ._af
2197,Ketoconazole: Co-administration of 200 mg twice-daily ketoconazole with aliskiren resulted in an approximate 80% increase in plasma levels of aliskiren.,ketoconazole,aliskiren,mechanism,Ketoconazole:_bf Co-administration_bf 200_bf mg_bf twice-daily_bf DRUG OTHER_DRUG resulted_af approximate_af 80%_af increase_af plasma_af levels_af OTHER_DRUG ._af
2262,"Furosemide: When aliskiren was co-administered with furosemide, the AUC and Cmax of furosemide were reduced by about 30% and 50%, respectively.",aliskiren,furosemide,mechanism,"Furosemide:_bf When_bf DRUG co-administered_be OTHER_DRUG ,_af AUC_af Cmax_af OTHER_DRUG reduced_af 30%_af 50%_af ,_af respectively_af ._af"
2274,Mercaptopurine/Azathioprine: Allopurinol inhibits the enzymatic oxidation of mercaptopurine and azathioprine to 6-thiouric acid.,Allopurinol,mercaptopurine,mechanism,Mercaptopurine/Azathioprine:_bf DRUG inhibits_be enzymatic_be oxidation_be OTHER_DRUG azathioprine_af 6-thiouric_af acid_af ._af
2275,Mercaptopurine/Azathioprine: Allopurinol inhibits the enzymatic oxidation of mercaptopurine and azathioprine to 6-thiouric acid.,Allopurinol,azathioprine,mechanism,Mercaptopurine/Azathioprine:_bf DRUG inhibits_be enzymatic_be oxidation_be mercaptopurine_be OTHER_DRUG 6-thiouric_af acid_af ._af
2306,"Dicumarol: It has been reported that allopurinol prolongs the half-life of the anticoagulant, dicumarol.",allopurinol,dicumarol,mechanism,"Dicumarol:_bf It_bf reported_bf DRUG prolongs_be half-life_be anticoagulant_be ,_be OTHER_DRUG ._af"
2314,"Uricosuric Agents: Since the excretion of oxipurinol is similar to that of urate, uricosuric agents, which increase the excretion of urate, are also likely to increase the excretion of oxipurinol and thus lower the degree of inhibition of xanthine oxidase.",uricosuric agents,oxipurinol,mechanism,"Uricosuric_bf Agents:_bf Since_bf excretion_bf OTHER_DRUG similar_be urate_be ,_be uricosuric_be agents_be ,_be increase_be excretion_be urate_be ,_be also_be likely_be increase_be excretion_be OTHER_DRUG thus_af lower_af degree_af inhibition_af xanthine_af oxidase_af ._af"
2315,The concomitant administration of uricosuric agents and allopurinol has been associated with a decrease in the excretion of oxypurines (hypoxanthine and xanthine) and an increase in urinary uric acid excretion compared with that observed with allopurinol alone.,uricosuric agents,allopurinol,mechanism,The_bf concomitant_bf administration_bf uricosuric_bf agents_bf OTHER_DRUG associated_be decrease_be excretion_be oxypurines_be (hypoxanthine_be xanthine)_be increase_be urinary_be uric_be acid_be excretion_be compared_be observed_be OTHER_DRUG alone_af ._af
2361,"Chlorpropamide: Chlorpropamides plasma half-life may be prolonged by allopurinol, since allopurinol and chlorpropamide may compete for excretion in the renal tubule.",Chlorpropamide,allopurinol,mechanism,"Chlorpropamide:_bf Chlorpropamides_bf plasma_bf half-life_bf may_bf prolonged_bf OTHER_DRUG ,_be since_be OTHER_DRUG DRUG may_af compete_af excretion_af renal_af tubule_af ._af"
2366,"Chlorpropamide: Chlorpropamides plasma half-life may be prolonged by allopurinol, since allopurinol and chlorpropamide may compete for excretion in the renal tubule.",allopurinol,chlorpropamide,mechanism,"Chlorpropamide:_bf Chlorpropamides_bf plasma_bf half-life_bf may_bf prolonged_bf DRUG ,_be since_be DRUG OTHER_DRUG may_af compete_af excretion_af renal_af tubule_af ._af"
2370,Cyclosporin: Reports indicate that cyclosporine levels may be increased during concomitant treatment with allopurinol sodium for injection.,cyclosporine,allopurinol sodium,mechanism,Cyclosporin:_bf Reports_bf indicate_bf DRUG levels_be may_be increased_be concomitant_be treatment_be allopurinol_be sodium_be injection_be ._be
2384,Monoamine Oxidase Inhibitors: Coadministration of moclobemide resulted in a 27% decrease in almotriptan clearance and an increase in Cmax of approximately 6%.,moclobemide,almotriptan,mechanism,Monoamine_bf Oxidase_bf Inhibitors:_bf Coadministration_bf DRUG resulted_be 27%_be decrease_be OTHER_DRUG clearance_af increase_af Cmax_af approximately_af 6%_af ._af
2423,Verapamil: Coadministration of almotriptan and verapamil resulted in a 24% increase in plasma concentrations of almotriptan.,almotriptan,verapamil,mechanism,Verapamil:_bf Coadministration_bf DRUG OTHER_DRUG resulted_af 24%_af increase_af plasma_af concentrations_af DRUG ._af
2426,Coadministration of almotriptan and the potent CYP3A4 inhibitor ketoconazole (400 mg q.d. for 3 days) resulted in an approximately 60% increase in the area under the plasma concentration-time curve and maximal plasma concentrations of almotriptan.,almotriptan,ketoconazole,mechanism,Coadministration_bf DRUG potent_be CYP3A4_be inhibitor_be OTHER_DRUG (400_af mg_af q_af ._af ._af 3_af days)_af resulted_af approximately_af 60%_af increase_af area_af plasma_af concentration-time_af curve_af maximal_af plasma_af concentrations_af DRUG ._af
2446,Fluvoxamine increased mean alosetron plasma concentrations (AUC) approximately 6-fold and prolonged the half-life by approximately 3-fold.,Fluvoxamine,alosetron,mechanism,DRUG increased_be mean_be OTHER_DRUG plasma_af concentrations_af (AUC)_af approximately_af 6-fold_af prolonged_af half-life_af approximately_af 3-fold_af ._af
2452,Ketoconazole increased mean alosetron plasma concentrations (AUC) by 29%.,Ketoconazole,alosetron,mechanism,DRUG increased_be mean_be OTHER_DRUG plasma_af concentrations_af (AUC)_af 29%_af ._af
2510,A case report of one patient taking amiodarone 200 mg and indinavir 800 mg three times a day resulted in increases in amiodarone concentrations from 0.9 mg/L to 1.3 mg/L.,amiodarone,indinavir,mechanism,A_bf case_bf report_bf one_bf patient_bf taking_bf DRUG 200_be mg_be OTHER_DRUG 800_af mg_af three_af times_af day_af resulted_af increases_af DRUG concentrations_af 0_af ._af 9_af mg/L_af 1_af ._af 3_af mg/L_af ._af
2516,Histamine H2 antagonists: Cimetidine inhibits CYP3A4 and can increase serum amiodarone levels.,Histamine H2 antagonists,Cimetidine,mechanism,Histamine_bf H2_bf antagonists:_bf OTHER_DRUG inhibits_be CYP3A4_be increase_be serum_be amiodarone_be levels_be ._be
2776,"Cimetidine is reported to reduce hepatic metabolism of certain tricyclic antidepressants, thereby delaying elimination and increasing steady-state concentrations of these drugs.",Cimetidine,tricyclic antidepressants,mechanism,"DRUG reported_be reduce_be hepatic_be metabolism_be certain_be tricyclic_be antidepressants_be ,_be thereby_be delaying_be elimination_be increasing_be steady-state_be concentrations_be drugs_be ._be"
2781,"Increases in plasma levels of tricyclic antidepressants, and in the frequency and severity of side effects, particularly anticholinergic, have been reported when cimetidine was added to the drug regimen.",tricyclic antidepressants,cimetidine,mechanism,"Increases_bf plasma_bf levels_bf tricyclic_bf antidepressants_bf ,_bf frequency_bf severity_bf side_bf effects_bf ,_bf particularly_bf anticholinergic_bf ,_bf reported_bf OTHER_DRUG added_be drug_be regimen_be ._be"
2789,Discontinuation of cimetidine in well-controlled patients receiving tricyclic antidepressants and cimetidine may decrease the plasma levels and efficacy of the antidepressants.,tricyclic antidepressants,cimetidine,mechanism,Discontinuation_bf OTHER_DRUG well-controlled_be patients_be receiving_be tricyclic_be antidepressants_be OTHER_DRUG may_af decrease_af plasma_af levels_af efficacy_af antidepressants_af ._af
2870,Probenecid: May decrease renal tubular secretion of ampicillin resulting in increased blood levels and/or ampicillin toxicity.,Probenecid,ampicillin,mechanism,Probenecid:_bf May_bf decrease_bf renal_bf tubular_bf secretion_bf OTHER_DRUG resulting_be increased_be blood_be levels_be and/or_be OTHER_DRUG toxicity_af ._af
2877,"Indinavir steady-state Cmax, A.C. and Cmin were decreased by 22%, 38%, and 27%, respectively, by concomitant amprenavir.",Indinavir,amprenavir,mechanism,"DRUG steady-state_be Cmax_be ,_be A_be ._be C_be ._be Cmin_be decreased_be 22%_be ,_be 38%_be ,_be 27%_be ,_be respectively_be ,_be concomitant_be OTHER_DRUG ._af"
2878,"Saquinavir steady-state Cmax, A.C. and Cmin were increased 21%, decreased 19%, and decreased 48%, respectively, by concomitant amprenavir.",Saquinavir,amprenavir,mechanism,"DRUG steady-state_be Cmax_be ,_be A_be ._be C_be ._be Cmin_be increased_be 21%_be ,_be decreased_be 19%_be ,_be decreased_be 48%_be ,_be respectively_be ,_be concomitant_be OTHER_DRUG ._af"
2879,"Nelfinavir steady-state Cmax, A.C. and Cmin were increased by 12%, 15%, and 14%, respectively, by concomitant amprenavir.",Nelfinavir,amprenavir,mechanism,"DRUG steady-state_be Cmax_be ,_be A_be ._be C_be ._be Cmin_be increased_be 12%_be ,_be 15%_be ,_be 14%_be ,_be respectively_be ,_be concomitant_be OTHER_DRUG ._af"
2886,"Coadministration of amprenavir and methadone as compared to a non-matched historicalcontrol group resulted in a 30%, 27%, and 25% decrease in serum amprenavir AUC, Cmax, andCmin, respectively.",amprenavir,methadone,mechanism,"Coadministration_bf DRUG OTHER_DRUG compared_af non-matched_af historicalcontrol_af group_af resulted_af 30%_af ,_af 27%_af ,_af 25%_af decrease_af serum_af DRUG AUC_af ,_af Cmax_af ,_af andCmin_af ,_af respectively_af ._af"
2940,"It is known that CYP1A2 is inhibited by several medicinal products, including fluvoxamine, and such medicinal products could theoretically adversely influence the clearance of anagrelide.",fluvoxamine,anagrelide,mechanism,"It_bf known_bf CYP1A2_bf inhibited_bf several_bf medicinal_bf products_bf ,_bf including_bf DRUG ,_be medicinal_be products_be could_be theoretically_be adversely_be influence_be clearance_be OTHER_DRUG ._af"
2941,Anagrelide demonstrates some limited inhibitory activity towards CYP1A2 which may present a theoretical potential for interaction with other coadministered medicinal products sharing that clearance mechanism e.g. theophylline.,Anagrelide,theophylline,mechanism,DRUG demonstrates_be limited_be inhibitory_be activity_be towards_be CYP1A2_be may_be present_be theoretical_be potential_be interaction_be coadministered_be medicinal_be products_be sharing_be clearance_be mechanism_be ._be g_be ._be OTHER_DRUG ._af
2957,"There is a single case report, which suggests that sucralfate may interfere with anagrelide absorption.",sucralfate,anagrelide,mechanism,"There_bf single_bf case_bf report_bf ,_bf suggests_bf DRUG may_be interfere_be OTHER_DRUG absorption_af ._af"
2972,Co-administration of anastrozole and tamoxifen resulted in a reduction of anastrozole plasma levels by 27% compared with those achieved with anastrozole alone.,anastrozole,tamoxifen,mechanism,Co-administration_bf DRUG OTHER_DRUG resulted_af reduction_af DRUG plasma_af levels_af 27%_af compared_af achieved_af DRUG alone_af ._af
3106,"Aprepitant has been shown to induce the metabolism of S(-) warfarin and tolbutamide, which are metabolized through CYP2C9.",Aprepitant,S(-) warfarin,mechanism,"DRUG shown_be induce_be metabolism_be S(-)_be warfarin_be tolbutamide_be ,_be metabolized_be CYP2C9_be ._be"
3107,"Aprepitant has been shown to induce the metabolism of S(-) warfarin and tolbutamide, which are metabolized through CYP2C9.",Aprepitant,tolbutamide,mechanism,"DRUG shown_be induce_be metabolism_be S(-)_be warfarin_be OTHER_DRUG ,_af metabolized_af CYP2C9_af ._af"
3109,"Coadministration of Aprepitant with these drugs or other drugs that are known to be metabolized by CYP2C9, such as phenytoin, may result in lower plasma concentrations of these drugs.",Aprepitant,phenytoin,mechanism,"Coadministration_bf DRUG drugs_be drugs_be known_be metabolized_be CYP2C9_be ,_be OTHER_DRUG ,_af may_af result_af lower_af plasma_af concentrations_af drugs_af ._af"
3130,"Corticosteroids: Dexamethasone: Aprepitant, when given as a regimen of 125mg with dexamethasone coadministered orally as 20 mg on Day 1, and Aprepitant when given as 80 mg/day with dexamethasone coadministered orally as 8 mg on Days 2 through 5, increased the AUC of dexamethasone, a CYP3A4 substrate by 2.2-fold, on Days 1 and 5.",Aprepitant,dexamethasone,mechanism,"Corticosteroids:_bf Dexamethasone:_bf DRUG ,_be given_be regimen_be 125mg_be OTHER_DRUG coadministered_af orally_af 20_af mg_af Day_af 1_af ,_af DRUG given_af 80_af mg/day_af OTHER_DRUG coadministered_af orally_af 8_af mg_af Days_af 2_af 5_af ,_af increased_af AUC_af OTHER_DRUG ,_af CYP3A4_af substrate_af 2_af ._af 2-fold_af ,_af Days_af 1_af 5_af ._af"
3137,"Corticosteroids: Dexamethasone: Aprepitant, when given as a regimen of 125mg with dexamethasone coadministered orally as 20 mg on Day 1, and Aprepitant when given as 80 mg/day with dexamethasone coadministered orally as 8 mg on Days 2 through 5, increased the AUC of dexamethasone, a CYP3A4 substrate by 2.2-fold, on Days 1 and 5.",Aprepitant,dexamethasone,mechanism,"Corticosteroids:_bf Dexamethasone:_bf DRUG ,_be given_be regimen_be 125mg_be OTHER_DRUG coadministered_af orally_af 20_af mg_af Day_af 1_af ,_af DRUG given_af 80_af mg/day_af OTHER_DRUG coadministered_af orally_af 8_af mg_af Days_af 2_af 5_af ,_af increased_af AUC_af OTHER_DRUG ,_af CYP3A4_af substrate_af 2_af ._af 2-fold_af ,_af Days_af 1_af 5_af ._af"
3146,The daily dose of dexamethasone administered in clinical studies with Aprepitant reflects an approximate 50% reduction of the dose of dexamethasone.,dexamethasone,Aprepitant,mechanism,The_bf daily_bf dose_bf DRUG administered_be clinical_be studies_be OTHER_DRUG reflects_af approximate_af 50%_af reduction_af dose_af DRUG ._af
3149,"Aprepitant, when given as a regimen of 125 mg on Day 1 and 80 mg/day on Days 2 and 3, increased the AUC of methylprednisolone, a CYP3A4 substrate, by 1.34-fold on Day 1 and by 2.5-fold on Day 3, when methylprednisolone was coadministered intravenously as 125 mg on Day 1 and orally as 40 mg on Days 2 and 3.",Aprepitant,methylprednisolone,mechanism,"DRUG ,_be given_be regimen_be 125_be mg_be Day_be 1_be 80_be mg/day_be Days_be 2_be 3_be ,_be increased_be AUC_be OTHER_DRUG ,_af CYP3A4_af substrate_af ,_af 1_af ._af 34-fold_af Day_af 1_af 2_af ._af 5-fold_af Day_af 3_af ,_af OTHER_DRUG coadministered_af intravenously_af 125_af mg_af Day_af 1_af orally_af 40_af mg_af Days_af 2_af 3_af ._af"
3174,"Although there was no effect of Aprepitant on the plasma AUC of R(+) or S(-) warfarin determined on Day 3, there was a 34% decrease in S(-)warfarin (a CYP2C9 substrate) trough concentration accompanied by a 14% decrease in the prothrombin time (reported as International Normalized Ratio or INR) 5 days after completion of dosing with Aprepitant.",S(-)warfarin,Aprepitant,mechanism,"Although_bf effect_bf OTHER_DRUG plasma_be AUC_be R(+)_be S(-)_be warfarin_be determined_be Day_be 3_be ,_be 34%_be decrease_be DRUG (a_af CYP2C9_af substrate)_af trough_af concentration_af accompanied_af 14%_af decrease_af prothrombin_af time_af (reported_af International_af Normalized_af Ratio_af INR)_af 5_af days_af completion_af dosing_af OTHER_DRUG ._af"
3185,"Tolbutamide: Aprepitant, when given as 125 mg on Day 1 and 80 mg/day on Days 2 and 3, decreased the AUC of tolbutamide (a CYP2C9 substrate) by 23% on Day 4, 28% on Day 8, and 15% on Day 15, when a single dose of tolbutamide 500 mg was admini,stered orally prior to the administration of the 3-day regimen of Aprepitant and on Days 4,8, and 15.",tolbutamide,Aprepitant,mechanism,"Tolbutamide:_bf OTHER_DRUG ,_be given_be 125_be mg_be Day_be 1_be 80_be mg/day_be Days_be 2_be 3_be ,_be decreased_be AUC_be DRUG (a_af CYP2C9_af substrate)_af 23%_af Day_af 4_af ,_af 28%_af Day_af 8_af ,_af 15%_af Day_af 15_af ,_af single_af dose_af DRUG 500_af mg_af admini_af ,_af stered_af orally_af prior_af administration_af 3-day_af regimen_af OTHER_DRUG Days_af 4_af ,_af 8_af ,_af 15_af ._af"
3193,"Oral contraceptives: Aprepitant, when given once daily for 14 days as a 100-mg capsule with an oral contraceptive containing 35 mcg of ethinyl estradiol and 1 mg of norethindrone, decreased the AUC of ethinyl estradiol by 43%, and decreased the AUC of norethindrone by 8%;",Aprepitant,ethinyl estradiol,mechanism,"Oral_bf contraceptives:_bf DRUG ,_be given_be daily_be 14_be days_be 100-mg_be capsule_be oral_be contraceptive_be containing_be 35_be mcg_be ethinyl_be estradiol_be 1_be mg_be norethindrone_be ,_be decreased_be AUC_be ethinyl_be estradiol_be 43%_be ,_be decreased_be AUC_be norethindrone_be 8%;_be"
3194,"Oral contraceptives: Aprepitant, when given once daily for 14 days as a 100-mg capsule with an oral contraceptive containing 35 mcg of ethinyl estradiol and 1 mg of norethindrone, decreased the AUC of ethinyl estradiol by 43%, and decreased the AUC of norethindrone by 8%;",Aprepitant,norethindrone,mechanism,"Oral_bf contraceptives:_bf DRUG ,_be given_be daily_be 14_be days_be 100-mg_be capsule_be oral_be contraceptive_be containing_be 35_be mcg_be ethinyl_be estradiol_be 1_be mg_be OTHER_DRUG ,_af decreased_af AUC_af ethinyl_af estradiol_af 43%_af ,_af decreased_af AUC_af OTHER_DRUG 8%;_af"
3213,"Midazolam: Aprepitant increased the AUC of midazolam, a sensitive CYP3A4 substrate, by 2.3-fold on Day 1 and 3.3-fold on Day 5, when a single oral dose of midazolam 2 mg was coadministered on Day 1 and Day 5 of a regimen of Aprepitant 125 mg on Day 1 and 80 mg/day on Days 2 through 5.",Aprepitant,midazolam,mechanism,"Midazolam:_bf DRUG increased_be AUC_be OTHER_DRUG ,_af sensitive_af CYP3A4_af substrate_af ,_af 2_af ._af 3-fold_af Day_af 1_af 3_af ._af 3-fold_af Day_af 5_af ,_af single_af oral_af dose_af OTHER_DRUG 2_af mg_af coadministered_af Day_af 1_af Day_af 5_af regimen_af DRUG 125_af mg_af Day_af 1_af 80_af mg/day_af Days_af 2_af 5_af ._af"
3235,Aprepitant increased the AUC of midazolam by 25% on Day 4 and decreased the AUC of midazolam by 19% on Day 8 relative to the dosing of Aprepitant on Days 1 through 3.,Aprepitant,midazolam,mechanism,DRUG increased_be AUC_be OTHER_DRUG 25%_af Day_af 4_af decreased_af AUC_af OTHER_DRUG 19%_af Day_af 8_af relative_af dosing_af DRUG Days_af 1_af 3_af ._af
3236,Aprepitant increased the AUC of midazolam by 25% on Day 4 and decreased the AUC of midazolam by 19% on Day 8 relative to the dosing of Aprepitant on Days 1 through 3.,Aprepitant,midazolam,mechanism,DRUG increased_be AUC_be OTHER_DRUG 25%_af Day_af 4_af decreased_af AUC_af OTHER_DRUG 19%_af Day_af 8_af relative_af dosing_af DRUG Days_af 1_af 3_af ._af
3271,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,rifampin,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be OTHER_DRUG ,_af carbamazepine_af ,_af phenytoin)_af may_af result_af reduced_af plasma_af concentrations_af DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
3273,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,phenytoin,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be rifampin_be ,_be carbamazepine_be ,_be phenytoin)_be may_be result_be reduced_be plasma_be concentrations_be DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
3274,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,aprepitant,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be rifampin_be ,_be carbamazepine_be ,_be phenytoin)_be may_be result_be reduced_be plasma_be concentrations_be DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
3291,"Ketoconazole: When a single 125-mg dose of Aprepitant was administered on Day5 of a 10-day regimen of 400 mg/day of ketoconazole, a strong CYP3A4 inhibitor, the AUC of aprepitant increased approximately 5-fold and the mean terminal half-life of aprepitant increased approximately 3-fold.",Aprepitant,ketoconazole,mechanism,"Ketoconazole:_bf When_bf single_bf 125-mg_bf dose_bf DRUG administered_be Day5_be 10-day_be regimen_be 400_be mg/day_be OTHER_DRUG ,_af strong_af CYP3A4_af inhibitor_af ,_af AUC_af DRUG increased_af approximately_af 5-fold_af mean_af terminal_af half-life_af DRUG increased_af approximately_af 3-fold_af ._af"
3300,"Rifampin: When a single 375-mg dose of Aprepitant was administered on Day9 of a 14-day regimen of 600 mg/day of rifampin, a strong CYP3A4 inducer, the AUC of aprepitant decreased approximately 11-fold and the mean terminal half-life decreased approximately 3-fold.",Aprepitant,rifampin,mechanism,"Rifampin:_bf When_bf single_bf 375-mg_bf dose_bf DRUG administered_be Day9_be 14-day_be regimen_be 600_be mg/day_be OTHER_DRUG ,_af strong_af CYP3A4_af inducer_af ,_af AUC_af DRUG decreased_af approximately_af 11-fold_af mean_af terminal_af half-life_af decreased_af approximately_af 3-fold_af ._af"
3308,"Diltiazem: In patients with mild to moderate hypertension, administration of aprepitant once daily, as a tablet formulation comparable to 230 mg of the capsule formulation, with diltiazem 120 mg 3 times daily for 5 days, resulted in a 2-fold increase of aprepitant AUC and a simultaneous 1.7-fold increase of diltiazem AUC.",aprepitant,diltiazem,mechanism,"Diltiazem:_bf In_bf patients_bf mild_bf moderate_bf hypertension_bf ,_bf administration_bf DRUG daily_be ,_be tablet_be formulation_be comparable_be 230_be mg_be capsule_be formulation_be ,_be OTHER_DRUG 120_af mg_af 3_af times_af daily_af 5_af days_af ,_af resulted_af 2-fold_af increase_af DRUG AUC_af simultaneous_af 1_af ._af 7-fold_af increase_af OTHER_DRUG AUC_af ._af"
3318,"Paroxetine: Coadministration of once daily doses of aprepitant, as a tablet formulation comparable to 85 mg or 170 mg of the capsule formulation, with paroxetine 20 mg once daily, resulted in a decrease in AUC by approximately 25% and Cmax, by approximately 20% of both aprepitant and paroxetine.",aprepitant,paroxetine,mechanism,"Paroxetine:_bf Coadministration_bf daily_bf doses_bf DRUG ,_be tablet_be formulation_be comparable_be 85_be mg_be 170_be mg_be capsule_be formulation_be ,_be OTHER_DRUG 20_af mg_af daily_af ,_af resulted_af decrease_af AUC_af approximately_af 25%_af Cmax_af ,_af approximately_af 20%_af DRUG OTHER_DRUG ._af"
3382,"Agents that induce CYP3A4 (eg, carbamazepine) could cause an increase in aripiprazole clearance and lower blood levels.",carbamazepine,aripiprazole,mechanism,"Agents_bf induce_bf CYP3A4_bf (eg_bf ,_bf carbamazepine)_bf could_bf cause_bf increase_bf OTHER_DRUG clearance_be lower_be blood_be levels_be ._be"
3386,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",ketoconazole,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf fluoxetine_bf ,_bf paroxetine)_bf inhibit_bf OTHER_DRUG elimination_be cause_be increased_be blood_be levels_be ._be"
3389,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",quinidine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf DRUG ,_be fluoxetine_be ,_be paroxetine)_be inhibit_be OTHER_DRUG elimination_af cause_af increased_af blood_af levels_af ._af"
3391,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",fluoxetine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf DRUG ,_be paroxetine)_be inhibit_be OTHER_DRUG elimination_af cause_af increased_af blood_af levels_af ._af"
3392,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",paroxetine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf fluoxetine_bf ,_bf paroxetine)_bf inhibit_bf OTHER_DRUG elimination_be cause_be increased_be blood_be levels_be ._be"
3396,"Ketoconazole: Coadministration of ketoconazole (200 mg/day for 14 days) with a 15-mg single dose of aripiprazole increased the AUC of aripiprazole and its active metabolite by 63% and 77%, respectively.",ketoconazole,aripiprazole,mechanism,"Ketoconazole:_bf Coadministration_bf DRUG (200_be mg/day_be 14_be days)_be 15-mg_be single_be dose_be OTHER_DRUG increased_af AUC_af OTHER_DRUG active_af metabolite_af 63%_af 77%_af ,_af respectively_af ._af"
3406,"Quinidine: Coadministration of a 10-mg single dose of aripiprazole with quinidine (166 mg/day for 13 days), a potent inhibitor of CYP2D6, increased the AUC of aripiprazole by 112% but decreased the AUC of its active metabolite, dehydroaripiprazole, by 35%.",aripiprazole,quinidine,mechanism,"Quinidine:_bf Coadministration_bf 10-mg_bf single_bf dose_bf DRUG OTHER_DRUG (166_af mg/day_af 13_af days)_af ,_af potent_af inhibitor_af CYP2D6_af ,_af increased_af AUC_af DRUG 112%_af decreased_af AUC_af active_af metabolite_af ,_af dehydroaripiprazole_af ,_af 35%_af ._af"
3420,"Carbamazepine: Coadministration of carbamazepine (200 mg BID), a potent CYP3A4 inducer, with aripiprazole (30 mg QD) resulted in an approximate 70% decrease in Cmax and AUC values of both aripiprazole and its active metabolite, dehydro-aripiprazole.",carbamazepine,aripiprazole,mechanism,"Carbamazepine:_bf Coadministration_bf DRUG (200_be mg_be BID)_be ,_be potent_be CYP3A4_be inducer_be ,_be OTHER_DRUG (30_af mg_af QD)_af resulted_af approximate_af 70%_af decrease_af Cmax_af AUC_af values_af OTHER_DRUG active_af metabolite_af ,_af dehydro-aripiprazole_af ._af"
3502,Phenobarbital: Decreases aspirin effectiveness by enzyme induction.,Phenobarbital,aspirin,mechanism,Phenobarbital:_bf Decreases_bf OTHER_DRUG effectiveness_be enzyme_be induction_be ._be
